Rank,College,W,L,T,PCT
1,UCLA ,52,8,0,0.867
2,Florida St. ,55,9,0,0.859
3,Oregon ,56,9,1,0.856
4,Tulsa ,53,9,0,0.855
5,USC Upstate ,46,9,0,0.836
6,Louisiana ,49,10,1,0.825
7,Florida ,55,12,0,0.821
8,Alabama ,53,13,0,0.803
9,DePaul ,44,11,0,0.800
10,Oklahoma ,51,13,0,0.797
11,Tennessee ,46,12,0,0.793
12,Arizona St. ,46,12,1,0.788
13,Minnesota ,44,12,0,0.786
14,Georgia ,49,15,0,0.766
15,Notre Dame ,41,13,0,0.759
16,Michigan ,47,15,0,0.758
17,Baylor ,49,16,0,0.754
18,James Madison ,45,15,0,0.750
18,South Alabama ,42,14,0,0.750
20,Stetson ,39,14,0,0.736
21,Arizona ,44,16,0,0.733
22,Lipscomb ,41,15,0,0.732
22,Coastal Caro. ,41,15,0,0.732
24,Purdue Fort Wayne ,40,15,0,0.727
24,Jacksonville St. ,40,15,0,0.727
26,Kentucky ,50,19,0,0.725
27,Albany ,34,13,0,0.723
28,South Fla. ,43,17,0,0.717
29,Col. of Charleston ,40,16,0,0.714
29,Longwood ,40,16,0,0.714
31,Washington ,37,15,0,0.712
32,Nebraska ,44,18,0,0.710
33,UCF ,43,18,0,0.705
33,Missouri ,43,18,0,0.705
35,McNeese ,40,17,0,0.702
36,Hofstra ,34,15,0,0.694
37,Eastern Ill. ,38,17,0,0.691
38,Auburn ,42,19,1,0.685
39,Samford ,38,18,0,0.679
40,San Diego St. ,40,19,0,0.678
41,Delaware St. ,35,17,0,0.673
42,Long Beach St. ,39,19,0,0.672
43,NC State ,36,18,0,0.667
43,North Dakota St. ,36,18,0,0.667
45,Mercer ,37,19,0,0.661
46,Northwestern ,35,18,0,0.660
47,Green Bay ,27,14,0,0.659
48,Stony Brook ,34,18,0,0.654
49,Colorado St. ,32,17,0,0.653
50,Mississippi St. ,39,21,0,0.650
51,Texas Tech ,35,19,0,0.648
52,Harvard ,28,15,1,0.648
53,Central Conn. St. ,29,16,0,0.644
54,Wisconsin ,36,20,0,0.643
54,Fordham ,36,20,0,0.643
56,Idaho St. ,35,20,0,0.636
57,Ball St. ,33,19,0,0.635
57,Cal Poly ,33,19,0,0.635
59,Boston U. ,36,21,0,0.632
60,UC Santa Barbara ,34,20,0,0.630
61,Akron ,27,16,0,0.628
62,Texas A&M ,37,22,0,0.627
63,Ga. Southern ,35,21,0,0.625
64,FIU ,33,20,0,0.623
65,Louisville ,36,22,0,0.621
65,South Carolina ,36,22,0,0.621
67,Dartmouth ,31,19,0,0.620
68,Chattanooga ,34,21,0,0.618
68,Wichita St. ,34,21,0,0.618
70,LSU ,38,24,0,0.613
71,Virginia Tech ,36,23,0,0.610
72,Cal St. Fullerton ,33,21,1,0.609
73,Texas Southern ,31,20,0,0.608
74,Central Mich. ,34,22,0,0.607
75,Texas ,35,23,0,0.603
76,Fla. Atlantic ,33,22,0,0.600
76,Lehigh ,30,20,0,0.600
78,BYU ,34,23,0,0.596
78,Kansas ,34,23,0,0.596
80,Fresno St. ,31,21,0,0.596
81,Rutgers ,28,19,0,0.596
82,Bryant ,32,22,0,0.593
83,Hampton ,29,20,0,0.592
84,Houston ,33,23,0,0.589
85,Saint Louis ,30,21,0,0.588
86,UMBC ,31,22,0,0.585
86,North Texas ,31,22,0,0.585
88,East Carolina ,28,20,0,0.583
88,UNI ,28,20,0,0.583
90,Murray St. ,32,23,0,0.582
91,Western Ky. ,33,24,1,0.578
92,Boise St. ,30,22,0,0.577
92,Buffalo ,30,22,0,0.577
92,Northwestern St. ,30,22,0,0.577
95,New Mexico St. ,31,23,0,0.574
96,South Dakota ,29,22,0,0.569
96,Eastern Ky. ,29,22,0,0.569
98,SIUE ,30,23,0,0.566
98,Boston College ,30,23,0,0.566
100,Utah ,31,24,0,0.564
101,FGCU ,33,26,1,0.558
102,Youngstown St. ,30,24,0,0.556
102,San Jose St. ,30,24,0,0.556
102,Kent St. ,25,20,0,0.556
105,San Diego ,26,21,0,0.553
106,Ohio ,32,26,0,0.552
107,St. John's ,28,23,0,0.549
108,Creighton ,29,24,0,0.547
109,Stanford ,30,25,0,0.545
109,Ohio St. ,30,25,0,0.545
109,Cleveland St. ,24,20,0,0.545
112,UNC Greensboro ,31,26,0,0.544
112,CSUN ,31,26,0,0.544
114,Sacramento St. ,25,21,0,0.543
114,Savannah St. ,25,21,0,0.543
116,UAB ,32,27,0,0.542
117,Georgetown ,26,22,0,0.542
118,Southern Ill. ,28,24,0,0.538
119,Towson ,29,25,0,0.537
120,Georgia St. ,30,26,0,0.536
121,Campbell ,31,27,0,0.534
122,North Florida ,26,23,0,0.531
122,Saint Francis ,26,23,0,0.531
124,Marist ,27,24,0,0.529
125,Siena ,29,26,0,0.527
125,Furman ,29,26,0,0.527
127,Saint Joseph's ,22,20,0,0.524
128,Nevada ,27,25,0,0.519
129,George Mason ,22,21,0,0.512
129,Monmouth ,22,21,0,0.512
131,Winthrop ,27,26,0,0.509
131,Indiana St. ,27,26,0,0.509
133,Missouri St. ,28,27,0,0.509
134,Sam Houston St. ,27,27,0,0.500
134,UT Martin ,27,27,1,0.500
134,Presbyterian ,26,26,0,0.500
134,IUPUI ,24,24,0,0.500
134,Iona ,24,24,0,0.500
134,Columbia ,22,22,0,0.500
134,Fairleigh Dickinson ,21,21,0,0.500
141,Jackson St. ,28,29,0,0.491
142,Purdue ,27,28,1,0.491
143,Arkansas ,27,28,0,0.491
144,SFA ,26,27,0,0.491
145,Robert Morris ,24,25,0,0.490
145,Syracuse ,24,25,0,0.490
147,Georgia Tech ,23,24,0,0.489
148,Maine ,18,19,0,0.486
149,Dayton ,27,29,0,0.482
150,UNLV ,26,28,0,0.481
150,Oklahoma St. ,26,28,0,0.481
152,La.-Monroe ,25,27,0,0.481
153,Illinois ,24,26,0,0.480
153,North Carolina ,24,26,0,0.480
155,Delaware ,23,25,0,0.479
156,Fairfield ,20,22,0,0.476
157,Marshall ,28,31,0,0.475
158,Manhattan ,26,29,0,0.473
159,Illinois St. ,25,28,0,0.472
160,Bucknell ,23,26,0,0.469
